,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
722,722,11,"“Well, if I must, I must,” the King said, with a melancholy air, and, after folding his arms and frowning at the cook till his eyes were nearly out of sight, he said in a deep voice, “What are tarts made of?”",42,208,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,,,,Turning Point
723,723,11,"“Pepper, mostly,” said the cook.",5,32,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,,,,Turning Point
724,724,11,"“Treacle,” said a sleepy voice behind her.",7,42,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,,,,Turning Point
725,725,11,"“Collar that Dormouse,” the Queen shrieked out. “Behead that Dormouse! Turn that Dormouse out of court! Suppress him! Pinch him! Off with his whiskers!”",24,152,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,,,,Turning Point
726,726,11,"For some minutes the whole court was in confusion, getting the Dormouse turned out, and, by the time they had settled down again, the cook had disappeared.",27,155,court,INT,day,The Duchess’s cook appears,"The cook becomes the next witness, carrying a pepper-box and causing sneezing among the spectators. The cook’s refusal to comply with the King’s questioning adds to the disorder of the trial.",4.0,Action,The Queen commanded to behead the Dormouse.,Queen of Hearts,Turning Point
727,727,11,"“Never mind!” said the King, with an air of great relief. “Call the next witness.” And he added in an undertone to the Queen, “Really, my dear, _you_ must cross-examine the next witness. It quite makes my forehead ache!”",39,220,court,INT,day,,,,,,,
728,728,11,"Alice watched the White Rabbit as he fumbled over the list, feeling very curious to see what the next witness would be like, “—for they haven’t got much evidence _yet_,” she said to herself. Imagine her surprise, when the White Rabbit read out, at the top of his shrill little voice, the name “Alice!”",54,301,court,INT,day,Alice is called as a witness,"To Alice's astonishment, her name is read as the next witness by the White Rabbit, marking a significant moment as the court takes an unexpected turn.",7.0,,,,Climax
729,729,12,CHAPTER XII. Alice’s Evidence,4,29,,,,,,,,,,
730,730,12,"“Here!” cried Alice, quite forgetting in the flurry of the moment how large she had grown in the last few minutes, and she jumped up in such a hurry that she tipped over the jury-box with the edge of her skirt, upsetting all the jurymen on to the heads of the crowd below, and there they lay sprawling about, reminding her very much of a globe of goldfish she had accidentally upset the week before.",75,399,court,INT,day,Alice tips over the jury-box,"In a moment of excitement, Alice accidentally tips over the jury-box, causing the jurymen to fall out and sprawl onto the crowd below, reminiscent of a goldfish accident she had experienced previously.",6.0,Action,Alice jumps up and accidentally tips over the jury-box.,Alice,Inciting Incident
731,731,12,"“Oh, I _beg_ your pardon!” she exclaimed in a tone of great dismay, and began picking them up again as quickly as she could, for the accident of the goldfish kept running in her head, and she had a vague sort of idea that they must be collected at once and put back into the jury-box, or they would die.",60,303,court,INT,day,Alice assists the jurymen,"Feeling dismayed, Alice hurriedly picks up the jurymen after the accident, believing they must be returned to their proper places for the trial to continue.",5.0,Action,Alice apologizes and starts picking up the jurymen.,Alice,Setup
732,732,12,"“The trial cannot proceed,” said the King in a very grave voice, “until all the jurymen are back in their proper places—_all_,” he repeated with great emphasis, looking hard at Alice as he said so.",35,197,court,INT,day,The King’s ruling,"The King declares that the trial cannot proceed until all jurymen are back in their places, emphasizing the urgency of the situation.",5.0,Statement,The King insists that the trial cannot proceed without all jurymen.,King,Setup
733,733,12,"Alice looked at the jury-box, and saw that, in her haste, she had put the Lizard in head downwards, and the poor little thing was waving its tail about in a melancholy way, being quite unable to move. She soon got it out again, and put it right; “not that it signifies much,” she said to herself; “I should think it would be _quite_ as much use in the trial one way up as the other.”",76,383,court,INT,day,Alice tips over the jury-box,"In a moment of excitement, Alice accidentally tips over the jury-box, causing the jurymen to fall out and sprawl onto the crowd below, reminiscent of a goldfish accident she had experienced previously.",6.0,,,,Inciting Incident
734,734,12,"As soon as the jury had a little recovered from the shock of being upset, and their slates and pencils had been found and handed back to them, they set to work very diligently to write out a history of the accident, all except the Lizard, who seemed too much overcome to do anything but sit with its mouth open, gazing up into the roof of the court.",68,349,court,INT,day,Alice tips over the jury-box,"In a moment of excitement, Alice accidentally tips over the jury-box, causing the jurymen to fall out and sprawl onto the crowd below, reminiscent of a goldfish accident she had experienced previously.",6.0,Action,"Bill, the Lizard, sits in a melancholy state after being tipped over.",Lizard (Bill),Inciting Incident
735,735,12,“What do you know about this business?” the King said to Alice.,12,63,court,INT,day,Discussion about evidence,"The King asks Alice what she knows about the case. Despite the King's insistence, Alice continues to state that she knows nothing about it, leading to a confused exchange.",4.0,,,,Setup
736,736,12,"“Nothing,” said Alice.",3,22,court,INT,day,Discussion about evidence,"The King asks Alice what she knows about the case. Despite the King's insistence, Alice continues to state that she knows nothing about it, leading to a confused exchange.",4.0,Statement,Alice asserts that she knows nothing about the trial.,Alice,Setup
737,737,12,“Nothing _whatever?_” persisted the King.,5,41,court,INT,day,Discussion about evidence,"The King asks Alice what she knows about the case. Despite the King's insistence, Alice continues to state that she knows nothing about it, leading to a confused exchange.",4.0,,,,Setup
738,738,12,"“Nothing whatever,” said Alice.",4,31,court,INT,day,Discussion about evidence,"The King asks Alice what she knows about the case. Despite the King's insistence, Alice continues to state that she knows nothing about it, leading to a confused exchange.",4.0,Statement,The King emphasizes the importance of Alice's response.,King,Setup
739,739,12,"“That’s very important,” the King said, turning to the jury. They were just beginning to write this down on their slates, when the White Rabbit interrupted: “_Un_important, your Majesty means, of course,” he said in a very respectful tone, but frowning and making faces at him as he spoke.",49,289,court,INT,day,Discussion about evidence,"The King asks Alice what she knows about the case. Despite the King's insistence, Alice continues to state that she knows nothing about it, leading to a confused exchange.",4.0,Statement,White Rabbit corrects the King on the importance of Alice's statement.,White Rabbit,Setup
740,740,12,"“_Un_important, of course, I meant,” the King hastily said, and went on to himself in an undertone,",17,99,court,INT,day,,,,,,,
741,741,12,“important—unimportant—unimportant—important—” as if he were trying which word sounded best.,10,92,court,INT,day,,,,,,,
742,742,12,"Some of the jury wrote it down “important,” and some “unimportant.” Alice could see this, as she was near enough to look over their slates; “but it doesn’t matter a bit,” she thought to herself.",35,194,court,INT,day,,,,Statement,Alice reflects that the jurymen's writings don’t matter.,Alice,
743,743,12,"At this moment the King, who had been for some time busily writing in his note-book, cackled out “Silence!” and read out from his book, “Rule Forty-two. _All persons more than a mile high to leave the court_.”",38,209,court,INT,day,The reading of Rule Forty-two,"The King reads a rule stating that all persons taller than a mile must leave the court, which Alice disputes, leading to tension in the trial.",6.0,,,,Turning Point
